STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
USW00013969,Netaji Subhash Chandra Bose International Airport,08-05-1950,,,,0.81,0,,82,58,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,09-05-1950,,,,0.01,0,,76,58,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,10-05-1950,,,,1,0,,61,53,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,11-05-1950,,,,0,0,,72,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,12-05-1950,,,,0,0,,76,47,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,13-05-1950,,,,0.17,0,,76,56,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,14-05-1950,,,,0,0,,77,55,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,15-05-1950,,,,0,0,,84,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,16-05-1950,,,,0,0,,88,58,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,17-05-1950,,,,0,0,,85,61,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,18-05-1950,,,,0,0,,87,64,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,19-05-1950,,,,0,0,,82,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,20-05-1950,,,,1.1,0,,77,54,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,21-05-1950,,,,0,0,,81,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,22-05-1950,,,,0,0,,86,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,23-05-1950,,,,0,0,,90,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,24-05-1950,,,,0.17,0,,89,69,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,25-05-1950,,,,0.24,0,,84,59,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,26-05-1950,,,,0.83,0,,60,52,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,27-05-1950,,,,0,0,,70,52,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,28-05-1950,,,,0.08,0,,79,53,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,29-05-1950,,,,0,0,,83,61,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,30-05-1950,,,,0,0,,87,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,31-05-1950,,,,0,0,,73,57,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,01-06-1950,,,,0.01,0,,79,55,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,02-06-1950,,,,0.57,0,,80,63,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,03-06-1950,,,,0,0,,72,53,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,04-06-1950,,,,0,0,,73,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,05-06-1950,,,,0,0,,80,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,06-06-1950,,,,0,0,,79,57,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,07-06-1950,,,,0,0,,85,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,08-06-1950,,,,0,0,,86,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,09-06-1950,,,,0.58,0,,93,70,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,10-06-1950,,,,0,0,,85,66,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,11-06-1950,,,,0,0,,88,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,12-06-1950,,,,0,0,,93,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,13-06-1950,,,,0,0,,94,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013969,Netaji Subhash Chandra Bose International Airport,14-06-1950,,,,0,0,,94,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
